School ID,School Name,Network,Governance,School Type,Community Area,Total,PE,PK,K,1,2,3,4,5,6,7,8,9,10,11,12
609708,FOREMAN HS,Network 14,District,Traditional,PORTAGE PARK,571,0,0,0,0,0,0,0,0,0,0,0,134,198,134,105
609924,FORT DEARBORN,Network 11,District,Traditional,WASHINGTON HEIGHTS,328,22,20,32,41,25,36,29,23,38,34,28,0,0,0,0
609927,FOSTER PARK,Network 11,District,Traditional,AUBURN GRESHAM,294,17,24,27,40,30,36,25,20,34,19,22,0,0,0,0
609926,FRANKLIN,Network 4,District,Traditional,NEAR NORTH SIDE,368,0,0,31,31,31,30,29,62,62,61,31,0,0,0,0
610503,FRAZIER PROSPECTIVE,ISP,District,Traditional,NORTH LAWNDALE,131,0,0,10,14,13,9,13,10,22,21,19,0,0,0,0
609928,FULLER,Network 9,District,Traditional,GRAND BOULEVARD,311,4,21,31,20,18,23,29,43,42,37,43,0,0,0,0
609929,FULTON,Network 8,District,Traditional,NEW CITY,293,18,27,26,24,28,27,25,25,31,35,27,0,0,0,0
609930,FUNSTON,Network 4,District,Traditional,LOGAN SQUARE,414,0,33,45,40,30,38,51,43,47,39,48,0,0,0,0
609709,GAGE PARK HS,Network 16,District,Traditional,GAGE PARK,338,0,0,0,0,0,0,0,0,0,0,0,94,108,79,57
609933,GALE,Network 2,District,Traditional,ROGERS PARK,215,0,11,26,31,25,22,18,21,21,17,23,0,0,0,0
610009,GALILEO,Network 6,District,Traditional,NEAR WEST SIDE,541,0,0,65,59,65,63,58,58,57,61,55,0,0,0,0
609935,GALLISTEL,Network 13,District,Traditional,EAST SIDE,622,0,47,49,54,57,72,71,71,67,66,68,0,0,0,0
610128,GARVEY,Network 13,District,Traditional,WASHINGTON HEIGHTS,235,0,17,29,23,31,20,21,23,32,13,26,0,0,0,0
609937,GARVY,Network 1,District,Traditional,NORWOOD PARK,737,0,0,81,83,87,69,82,71,89,100,75,0,0,0,0
609938,GARY,Network 7,District,Traditional,SOUTH LAWNDALE,755,12,19,0,0,0,111,115,108,132,116,142,0,0,0,0
609939,GILLESPIE,Network 12,District,Traditional,ROSELAND,377,1,20,38,42,44,38,38,39,40,41,36,0,0,0,0
609942,GOETHE,Network 4,District,Traditional,LOGAN SQUARE,707,41,43,64,76,79,77,69,59,71,66,62,0,0,0,0
610558,GOODE HS,Network 16,District,Traditional,ASHBURN,974,0,0,0,0,0,0,0,0,0,0,0,261,255,231,227
609945,GOUDY,Network 2,District,Traditional,UPTOWN,561,2,47,43,60,71,50,52,63,50,63,60,0,0,0,0
609947,GRAHAM ES,Network 6,District,Traditional,NEW CITY,332,1,28,29,32,44,32,23,29,30,42,42,0,0,0,0
609769,GRAHAM HS,Network 14,District,Specialty,NEAR SOUTH SIDE,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239
